time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
0.0,1.321960190712305,1.321960190712305,1.348795592897468,1.3669393659792681,1.3669393659792681,1.3487955928974682,1.2018504251546618,1.0540925533894592,2.2422706745122847
0.1,1.3383757032016068,1.3523971496002363,1.3370555721031423,1.4148661884407463,1.428295277694006,1.324007399867757,1.1945397902011663,1.0512593327806241,2.2399404812222263
0.2,1.3646304229028496,1.386356970781372,1.333571524663915,1.4691836281971813,1.4915223165475242,1.314146819566683,1.171104379218906,1.0428136383687392,2.232075145043367
0.3,1.4013021880481675,1.4208388766529338,1.3378161957387327,1.5295487184200263,1.5590981360898852,1.3238089305790424,1.123453845760591,1.0245060207411854,2.2164628017502115
0.4,1.4442308586486257,1.4559321397575475,1.3481941621977847,1.5934750295987283,1.629763705912995,1.357910392564413,1.0515820314301767,0.9901995208944414,2.192410409648254
0.5,1.487239135480724,1.4912667518687874,1.3658698124793096,1.6561267834693403,1.6977787702580471,1.4141210429056166,0.977743471775004,0.9483260637911534,2.159805843298217
0.6,1.5260634104899724,1.524493997904244,1.3899397369408353,1.7130694827526836,1.7574838096440428,1.4830109160554261,0.9063005444062276,0.9032289782344345,2.120338260868318
0.7000000000000001,1.5582658920604369,1.552332419107275,1.4157117910095713,1.7618057906410134,1.8089078876934435,1.5558490574231822,0.8356742228539815,0.8546583359913008,2.0768823078920695
0.8,1.5818221409092672,1.5719109742628634,1.4385864692018977,1.8015616021455547,1.850636700565264,1.6260217643896864,0.7713454912099147,0.8053788470145882,2.0327339642271967
0.9,1.5946198920578667,1.5811905623706701,1.4552130806708106,1.8324091556585136,1.882414575605789,1.6894343444950972,0.7173990506450243,0.7585862018311649,1.9905013805561333
1.0,1.594746356784351,1.5786331838159584,1.4632153130641903,1.8535255639704291,1.9046385068746148,1.7435544974929447,0.6822429326541586,0.7184441875906692,1.9503768502457584
1.1,1.5846797664415868,1.5668799584385245,1.4609346023127598,1.86514543403204,1.9169762441107725,1.787611854521715,0.6653773774377536,0.6887480299062982,1.9164886068490983
1.2,1.5676596943825352,1.5490192077065734,1.4466963875585819,1.8717422907219912,1.921296940108723,1.821544565669917,0.6599438519599943,0.6671332587889731,1.8919899459651393
1.3,1.5455253551842247,1.5267244168045309,1.4211975140950517,1.8749823570855766,1.9200750164406406,1.8448689877720226,0.6609673455569941,0.6510636657924608,1.8757417789829316
1.4000000000000001,1.5213524698659882,1.5027960659151194,1.39242416508489,1.8776334339984508,1.9176178875535033,1.8574132732280706,0.6639067720073062,0.6374928525026595,1.8665452145527293
1.5,1.495554452734872,1.4774741385377543,1.3627263152070777,1.8816260785695922,1.9154632501746995,1.860219466489144,0.667078584897294,0.625404929135702,1.8638772307239506
1.6,1.4686684747603824,1.4512484720403804,1.3326031597913908,1.8874705189639396,1.914328381750057,1.855404098154145,0.6685635740262909,0.6145146273654342,1.8672908733632523
1.7,1.4405798940020134,1.4243693385196818,1.302336246921424,1.8954788760792847,1.9152241329950852,1.8481285499965272,0.6664025042582016,0.6038416042787219,1.874865727729548
1.8,1.4113219037948108,1.3965285635001299,1.2715082773142188,1.90643460369027,1.919188792681672,1.8419847360461912,0.6593431155418499,0.5928967356808166,1.8853784702764933
1.9000000000000001,1.3812384530046722,1.3679636388624898,1.2402793624678246,1.920949451190344,1.9265445929630514,1.8379822106079167,0.6466176920747754,0.5814514561493932,1.8989753551601942
2.0,1.350716840657171,1.339012764515551,1.2089277110801955,1.9380782439472566,1.936437882934581,1.8371498286664032,0.6276261998647661,0.5694238978279573,1.9157794777951322
2.1,1.3201409744207786,1.3099607573116223,1.1777723939992457,1.9572557849215104,1.9487511548918965,1.8400688922385504,0.6033462950165874,0.5583805834467283,1.936039803338286
2.2,1.2890196904955284,1.2801473436227595,1.146396425975984,1.9779618702509791,1.9629744579999702,1.8458070262998216,0.5756486122107745,0.5499971986687352,1.9592557110906703
2.3000000000000003,1.2565207338661004,1.248816657946796,1.1137586915551219,1.998943833811107,1.9781477054821301,1.8539499370730943,0.54792493652843,0.5464237885778698,1.985114036975374
2.4,1.2222506222213545,1.2156045781492395,1.0793346644298532,2.019083626232576,1.9934631946142636,1.863881410683779,0.52345355863265,0.5502236328334779,2.013593362608437
2.5,1.1860969063425226,1.1803336682336312,1.042887766484994,2.0379299782531133,2.0083035626595875,1.8747636876833047,0.5045399263728182,0.5624518874381853,2.044764180741792
2.6,1.148801100260771,1.1429822557056244,1.0043534852690423,2.0551839656022226,2.022111604729164,1.8857480642964195,0.49226288488694847,0.5825488230471406,2.0786475658102654
2.7,1.1110657564143918,1.104416426635842,0.9646255416400678,2.070526141635339,2.0344371393727285,1.8961111018677836,0.4863503339013522,0.6091685811822172,2.1149853625938997
2.8000000000000003,1.0729523531676126,1.0654345482230725,0.9246649016464737,2.0837421656492325,2.0449780081609243,1.905277096055405,0.4858235284807026,0.6406353149434304,2.1533046034248136
2.9,1.0343137538169362,1.0261138578172382,0.8846165609986506,2.094726895864112,2.0535397959572594,1.912784001692834,0.48950789824742896,0.6753720954111339,2.19312182196627
3.0,0.9950078231137259,0.9862994223571033,0.8443439411880743,2.1034223800935417,2.059995722167064,1.918259883462339,0.4966813306100933,0.7121451449073133,2.233983925396944
3.1,0.9549445278139446,0.9458320904586941,0.8037062748272549,2.1098002262255737,2.064385688165203,1.9214223640865613,0.5063708955426311,0.7500251308200522,2.275491366730995
3.2,0.9140758378276792,0.9046198664807107,0.7626470451570726,2.1138733001831986,2.067327794687984,1.9220783251208218,0.5172643421916886,0.7876077429964896,2.317198450751581
3.3000000000000003,0.8723865332154801,0.8626323013150335,0.7211902583614616,2.1157063432667407,2.0689235818785416,1.9201114653717073,0.5284896611318896,0.8241378253089809,2.358775951177929
3.4,0.8298974539362208,0.8198800378050334,0.6798414913039359,2.116044086339433,2.0691932100636805,1.9154665082011135,0.5388714940025436,0.8588934559600289,2.4000852691156083
3.5,0.78666824434364,0.7764128913166876,0.6398415004460862,2.1156092756633345,2.068136888088772,1.9081306935965274,0.5472789713794638,0.891233311291065,2.440944081529561
3.6,0.7427944529150106,0.7323242291522707,0.6013041489142738,2.114224686713987,2.0656571088808637,1.8980751511471228,0.5534782349451851,0.9210570965485877,2.4812596420079913
3.7,0.6984095338005383,0.6878689580166655,0.564078348951494,2.1118168243463824,2.0615663409521603,1.885186935884973,0.5573953189840439,0.9484017333327992,2.521023393271327
3.8000000000000003,0.6544439077086648,0.6444661889509818,0.5280971768888907,2.1082295528412076,2.055615638996858,1.8693636836250764,0.5588897934536907,0.9732952164090194,2.560212648983
3.9,0.6121582047960603,0.6028101777397948,0.49337684165637014,2.1030948633267528,2.0475140445973588,1.8509230498441374,0.5577698280218805,0.9957529944418428,2.5986565656957956
4.0,0.5715912163998956,0.5627909480382396,0.45996424803372704,2.0961138949430858,2.0374222258231294,1.8312392239626265,0.5539773903936649,1.0151474403222474,2.6354878335532663
4.1,0.5326254222652542,0.5243242105270275,0.4278510730170453,2.087308552620576,2.0254977487213566,1.8102308852179358,0.5479866480295801,1.030990393585423,2.670320485524629
4.2,0.49526043475435044,0.4874283446377187,0.397035651684951,2.076520889135657,2.0114313572860794,1.7875072596261123,0.5423539792655321,1.0440203189987072,2.7032500982755083
4.3,0.45948628786469914,0.4520936152038802,0.3675577469477231,2.0634235140033557,1.9949257990712006,1.7627308218053808,0.5373013394485096,1.0551502196664435,2.734470791531111
4.4,0.42527046647908184,0.4182927520241928,0.339513666261737,2.047784447546989,1.9757924163785274,1.7356251924435946,0.5322368555071346,1.065134934747163,2.76417019963009
4.5,0.3926006465101405,0.3860257200436796,0.31310677417896826,2.029462441091763,1.9538862047222385,1.7059736303058473,0.526578713778223,1.0747429817399339,2.7925720858626732
4.6000000000000005,0.3615099138526288,0.3553445608502766,0.2885614191570928,2.0083391304794214,1.9291004915953907,1.6736259020947346,0.519812735385688,1.0856812551184294,2.819956956862311
4.7,0.33211317876321267,0.3264024821413621,0.266082356845533,1.9843167681102483,1.9013351545024284,1.6385107679430622,0.5114964727711374,1.098788430192782,2.8466681564663534
4.8,0.3046278741222205,0.29942334656415937,0.2458936791463702,1.9573087572809924,1.870551408837261,1.600639167821972,0.5012478905135991,1.11345538227139,2.873079035627496
4.9,0.279263914439124,0.2746151363699636,0.22825318733195477,1.9272862664044954,1.836693859172021,1.5597907988771411,0.48877614259266033,1.1291049022553443,2.89968716190137
5.0,0.25623780477205904,0.25220498765429006,0.21344302916522725,1.8940864720411568,1.7993896330316141,1.5152986887202267,0.47393117017095665,1.1452546493720888,2.9272074223006395
5.1000000000000005,0.23580510816327943,0.23246418197051294,0.2017412481475624,1.8574427542694925,1.7583393824448768,1.4668742122779042,0.45666461993062984,1.1613412681627349,2.9560619644584336
5.2,0.21826580327941703,0.21570622039477208,0.19337616500786328,1.817349416277492,1.7135633952182754,1.4145162814820107,0.43701813052747285,1.1768562174233785,2.9857686447381337
