time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
0.0,1.321960190712305,1.321960190712305,1.348795592897468,1.3669393659792681,1.3669393659792681,1.3487955928974682,1.2472191289246455,1.1055415967851314,1.2133516482134181
0.1,1.3441662691705554,1.3598147624131,1.3438666722712564,1.419746716398261,1.433844107738884,1.3278504749659006,1.2360492367398914,1.1042932613053793,1.211388742808345
0.2,1.3860584979991417,1.4174156540506868,1.3592934711797748,1.4896375602251186,1.5164340133708527,1.327590720835184,1.2012189775530269,1.095055863275158,1.1969238516791816
0.3,1.4455841479703677,1.4916729296828204,1.3942027432778978,1.5743612721036604,1.612292176169031,1.3480529081113175,1.143701158080858,1.073202302739229,1.161989737165774
0.4,1.5200898649183647,1.5792923069512148,1.446899759245151,1.6716813032054598,1.7191736851707378,1.3883403412358584,1.065539382381156,1.0374328695219326,1.1068963831715641
0.5,1.6066099690986548,1.6768117433124003,1.515099324716666,1.7795439322850934,1.835102216385331,1.4468129779262544,0.9705686544215156,0.9867540383947891,1.0340508186645887
0.6,1.7021521772312775,1.7811826899223107,1.5961873000375948,1.8961556856172668,1.9583830175662518,1.5213861741002404,0.8712263432091851,0.9214846629762283,0.9535932803002688
0.7000000000000001,1.8046711931025299,1.8907793647157847,1.6874196845282479,2.0199966372055167,2.087568605785282,1.609826910072495,0.7787065485414506,0.8443329516146458,0.8733717636453042
0.8,1.912972928827482,2.0045397521855435,1.7862290851108877,2.1497993027252567,2.2214136251651047,1.709972549422971,0.6901243388532092,0.7601617131482812,0.7910041630731179
0.9,2.025995573258011,2.121491880279896,1.8910693713406144,2.284516187472802,2.3588379448458827,1.819853658064503,0.5998784723570547,0.6719349731014893,0.703501812209633
1.0,2.14273902687219,2.240679774427402,2.000803029790763,2.4232893516975578,2.498907445992121,1.9377443370112999,0.5046129557035219,0.5791118218759216,0.6096001984205861
1.1,2.26218834504711,2.3610829474891384,2.1143423411383955,2.5654221280980267,2.6408255415009627,2.062175957857431,0.4074056158857485,0.48099147469225967,0.5090955000264394
1.2,2.383216273447046,2.481526342394073,2.2305774007766006,2.7103528378912025,2.7839757063315376,2.1919310484196246,0.3133572012509735,0.383629597319398,0.40656386492547536
1.3,2.504464356086019,2.600579421232169,2.3482929720059027,2.8576315087110036,2.9278863406030577,2.3260003167162604,0.22422686361699173,0.2931350628659864,0.3120339414556298
1.4000000000000001,2.624214549550938,2.7164483288204666,2.4660729889431954,3.0068961223789565,3.072212193532378,2.4636012555994258,0.14825331259384053,0.21351493691999784,0.23366490310653246
1.5,2.7402558056814765,2.826875857129641,2.5822117429420692,3.1578396047855466,3.216717000900354,2.604137388620091,0.1114324918241859,0.14539896648804831,0.1752009344078329
1.6,2.849892558411852,2.9290663451851757,2.694619105062624,3.3102277376838627,3.361250011662832,2.747158405144012,0.12889112140424897,0.10088737552034074,0.1409251986439107
1.7,2.95077326325836,3.020104609193193,2.8007654760646323,3.463870964059891,3.50571858468599,2.8923301290081023,0.172840002404138,0.09925477078223653,0.13420825201054054
1.8,3.039141922064411,3.097163355118433,2.898574592556334,3.6186069596712325,3.650063292809698,3.039405040804596,0.21944978764131742,0.13019727102801226,0.1494437390840079
1.9000000000000001,3.1108837771186155,3.156555790547926,2.9849986756228835,3.774282720948341,3.7942326318541144,3.188195664869442,0.2608677238142597,0.16981608682474572,0.17511268481266445
2.0,3.163331939589387,3.196336372471833,3.056261378830462,3.9307323169442445,3.9381538062074783,3.338545715743663,0.2945347050388865,0.20808341871774422,0.20328205896838866
2.1,3.195156074946252,3.215377904971624,3.108776457955248,4.087764288363469,4.08171007754327,3.490297621354836,0.31945151683872774,0.2418499575638958,0.23015848121146484
2.2,3.205352768924,3.2127942908806837,3.1406693279978883,4.245144367520119,4.224723244751711,3.643258798541592,0.33517330820368196,0.269954086176184,0.25402430003817805
2.3000000000000003,3.193214939460113,3.1879428490319612,3.151026127384748,4.402575758027205,4.366935302951885,3.7971719443879826,0.34149981681040814,0.29205361207422253,0.2742115980901145
2.4,3.1582478851251423,3.140354287547409,3.139116183438153,4.559675991220423,4.507962176892952,3.9516970654871035,0.33837301912915874,0.30818890611222705,0.2906153222613356
2.5,3.1001097147207664,3.069685834813702,3.104389803524189,4.716059017915448,4.6472543434221905,4.106407172153959,0.3258461605079373,0.3185857359990388,0.3034327597106366
2.6,3.018587372235012,2.9756039957485934,3.0464427450983003,4.8715284954221465,4.784123816370441,4.260835310846674,0.3040642654288799,0.3235437414288383,0.31300667259697157
2.7,2.913550046144942,2.8577900103822005,2.9649813426287204,5.025774040109088,4.917717866512838,4.414681324604057,0.2733254831590654,0.32344132599023384,0.3196420392092894
2.8000000000000003,2.7850304315980887,2.7162343580998076,2.8596710223849,5.1782668017331765,5.0469770647920225,4.567565313728251,0.23436442670619673,0.3189939784470764,0.32375705458921666
2.9,2.633159047042082,2.551420907604957,2.7303590913057083,5.3281254458488485,5.170578756262427,4.718836790496985,0.19735027914861222,0.3114755080729264,0.3260252122172103
3.0,2.4612932383830297,2.366770108177935,2.5790175637846184,5.473955396249384,5.286898125634498,4.867432763652822,0.17262812266699856,0.30301080715510076,0.32735025962568526
3.1,2.2756935574236454,2.1688905701031156,2.4105958913441907,5.613664620467192,5.394171255938774,5.011796226713159,0.15897992889040574,0.2962034267181519,0.32877514643731914
3.2,2.082817118762386,1.9647082710608774,2.2305349720985723,5.744274148145936,5.490181630006555,5.1497795818806535,0.1564858278527907,0.294609862160405,0.332116297625248
