time,AUV1_ESO_Reference,AUV1_ESO_Estimation,AUV2_ESO_Reference,AUV2_ESO_Estimation,AUV3_ESO_Reference,AUV3_ESO_Estimation,AUV4_ESO_Reference,AUV4_ESO_Estimation,AUV5_ESO_Reference,AUV5_ESO_Estimation,AUV6_ESO_Reference,AUV6_ESO_Estimation,AUV7_ESO_Reference,AUV7_ESO_Estimation,AUV8_ESO_Reference,AUV8_ESO_Estimation,AUV9_ESO_Reference,AUV9_ESO_Estimation
0.0,-0.5,0.0027681264500471234,-0.5,-0.0027681264500471234,-0.5,-0.0041654787648034795,-0.0,0.1735316498952646,-0.0,-0.2062252970921281,-0.0,0.0072525197701954255,-0.0,0.017411011265922482,-0.0,0.0,-0.0,0.0
0.1,-0.5,0.16411570612895324,-0.5,-0.21110442465529813,-0.5,-0.3047164100866588,-0.0006838566657895173,0.26509138437309254,0.0008323117911401279,-0.3523926370255786,-0.24752994213977697,0.49217862677574803,0.24685899572859404,1.196070822000311,4.17492029232136e-05,3.99938224153704e-05,0.2465876124753003,0.08666648301458256
0.2,-0.5,0.1565770763902045,-0.5,-0.3294119669986954,-0.5,-0.45472819543708526,0.011103662224158262,0.004499558362396266,0.003908399087042491,-0.027715854163403705,-0.49625192294161047,0.6480657015122558,0.25250918655978244,1.6639941602903445,0.15560255269526485,0.02375098907745294,0.5005448828330487,0.2613173317682733
0.3,-0.5,0.07714836107500565,-0.5,-0.3992023061703042,-0.5,-0.5258555495282705,0.04462931957697455,0.05917534901681598,0.024995969970077914,0.014046601072920384,-0.7412624265591923,0.5828210944342612,0.16427831982185812,1.7486258923089253,0.6090651148361179,0.22037926227634186,0.8373940202803264,0.4808341776751471
0.4,-0.5,-0.015961485515584763,-0.5,-0.4417356225628236,-0.5,-0.5541238041234916,-0.1515386462654006,-0.08083283388669697,-0.020786116755988626,0.02276206881089465,-0.9240808095027392,0.42773735267657326,-0.07345182103206992,1.6152494783211524,0.8046952687570248,0.4954429249845104,1.021537026180678,0.7442525240805108
0.5,-0.5,-0.10546511380429573,-0.5,-0.4682314785684292,-0.5,-0.5568896794598647,-0.5144737484506399,-0.3530495555421708,-0.2431079312632124,-0.16767805457499427,-0.8999790274872862,0.24508248081065165,-0.5502490517721225,1.409079336818549,0.4691500825309398,0.6083733108099688,0.8918563528600159,0.9115714088926018
0.6,-0.5,-0.18532819650788757,-0.5,-0.4846771050463482,-0.5,-0.5469410324369901,-0.8350550869430406,-0.6877702766475854,-0.48431645023484343,-0.39053507385315833,-0.8538178400666756,0.06787726947216173,-1.063828289524654,1.1591658371267357,0.21948603693491375,0.44367943765760254,0.5482267686233908,0.8071622348089162
0.7000000000000001,-0.5,-0.25395269703109424,-0.5,-0.4944828155397339,-0.5,-0.5347443451209648,-1.0580451263053576,-0.9639385754882064,-0.7634988245363186,-0.6472841052374262,-0.8522901750668427,-0.09034665014157066,-1.468076181640976,0.8765328017557134,-0.021738399636229144,0.24277672934621997,0.14679906624213482,0.5683055438689177
0.8,-0.5,-0.311467517919856,-0.5,-0.499801220705334,-0.5,-0.5235321606175285,-1.2624226779130776,-1.1862035725292073,-1.053303116342652,-0.9285523136754924,-0.8818054993957991,-0.22868135389075203,-1.7981676126941748,0.5743464373615138,-0.3145365078347273,0.017006370126080875,-0.23542270345685296,0.2715977999896683
0.9,-0.5,-0.35870236745672374,-0.5,-0.5021137301869474,-0.5,-0.5144329874155079,-1.4755661074871402,-1.3989644417091511,-1.325461134889995,-1.209132811901587,-0.9126668933600249,-0.350285329801651,-2.1172771184812915,0.26311483189304746,-0.6375157773107291,-0.24019000391322315,-0.6199815229417669,-0.05430788506485335
